requirement,kind,satisfied,detail
login_route_available,route,true,/api/auth/login
logout_route_available,route,true,/api/auth/logout
callback_route_available,route,true,/api/auth/callback
session_route_available,route,true,/api/auth/session
current_user_route_available,route,true,/api/auth/current-user
route_auth_enforced,enforcement,true,
route_org_resolution_enforced,enforcement,false,
route_role_mapping_enforced,enforcement,false,
route_session_cookie_policy_enforced,enforcement,true,
ready_for_live_login,rollup,false,cloudflare_access_is_not_customer_app_auth; enforcement_absent:route_org_resolution_enforced; enforcement_absent:route_role_mapping_enforced
cloudflare_access_is_customer_auth,not_customer_auth,false,
frontend_preview_is_backend_login,not_customer_auth,false,
dev_header_is_customer_auth,not_customer_auth,false,
