target_binding_status,case,auth_status,verifier_role,binding_operation,binding_authorized,org_membership_verified,cross_tenant_risk
production,unauthenticated,unauthenticated,,approve_pending_binding,false,false,false
production,unauthenticated,unauthenticated,,create_verified_binding,false,false,false
production,unauthenticated,unauthenticated,,inspect_pending_binding,false,false,false
production,unauthenticated,unauthenticated,,resolve_conflict,false,false,false
production,unauthenticated,unauthenticated,,revoke_binding,false,false,false
production,unauthenticated,unauthenticated,,unknown,false,false,false
production,demo_platform_admin,authenticated_demo,platform_admin,approve_pending_binding,false,false,true
production,demo_platform_admin,authenticated_demo,platform_admin,create_verified_binding,false,false,true
production,demo_platform_admin,authenticated_demo,platform_admin,inspect_pending_binding,false,false,false
production,demo_platform_admin,authenticated_demo,platform_admin,resolve_conflict,false,false,true
production,demo_platform_admin,authenticated_demo,platform_admin,revoke_binding,false,false,true
production,demo_platform_admin,authenticated_demo,platform_admin,unknown,false,false,false
production,demo_tenant_admin,authenticated_demo,tenant_admin,approve_pending_binding,false,false,true
production,demo_tenant_admin,authenticated_demo,tenant_admin,create_verified_binding,false,false,true
production,demo_tenant_admin,authenticated_demo,tenant_admin,inspect_pending_binding,false,false,false
production,demo_tenant_admin,authenticated_demo,tenant_admin,resolve_conflict,false,false,true
production,demo_tenant_admin,authenticated_demo,tenant_admin,revoke_binding,false,false,true
production,demo_tenant_admin,authenticated_demo,tenant_admin,unknown,false,false,false
production,demo_grants_manager,authenticated_demo,,approve_pending_binding,false,false,true
production,demo_grants_manager,authenticated_demo,,create_verified_binding,false,false,true
production,demo_grants_manager,authenticated_demo,,inspect_pending_binding,false,false,false
production,demo_grants_manager,authenticated_demo,,resolve_conflict,false,false,true
production,demo_grants_manager,authenticated_demo,,revoke_binding,false,false,true
production,demo_grants_manager,authenticated_demo,,unknown,false,false,false
production,verified_org_tenant_admin,authenticated_verified_org,tenant_admin,approve_pending_binding,true,true,false
production,verified_org_tenant_admin,authenticated_verified_org,tenant_admin,create_verified_binding,true,true,false
production,verified_org_tenant_admin,authenticated_verified_org,tenant_admin,inspect_pending_binding,true,true,false
production,verified_org_tenant_admin,authenticated_verified_org,tenant_admin,resolve_conflict,true,true,false
production,verified_org_tenant_admin,authenticated_verified_org,tenant_admin,revoke_binding,true,true,false
production,verified_org_tenant_admin,authenticated_verified_org,tenant_admin,unknown,false,true,false
production,unverified_org_tenant_admin,authenticated_unverified_org,tenant_admin,approve_pending_binding,false,false,true
production,unverified_org_tenant_admin,authenticated_unverified_org,tenant_admin,create_verified_binding,false,false,true
production,unverified_org_tenant_admin,authenticated_unverified_org,tenant_admin,inspect_pending_binding,true,false,false
production,unverified_org_tenant_admin,authenticated_unverified_org,tenant_admin,resolve_conflict,false,false,true
production,unverified_org_tenant_admin,authenticated_unverified_org,tenant_admin,revoke_binding,false,false,true
production,unverified_org_tenant_admin,authenticated_unverified_org,tenant_admin,unknown,false,false,false
production,grants_viewer,authenticated_verified_org,,approve_pending_binding,false,true,true
production,grants_viewer,authenticated_verified_org,,create_verified_binding,false,true,true
production,grants_viewer,authenticated_verified_org,,inspect_pending_binding,false,true,false
production,grants_viewer,authenticated_verified_org,,resolve_conflict,false,true,true
production,grants_viewer,authenticated_verified_org,,revoke_binding,false,true,true
production,grants_viewer,authenticated_verified_org,,unknown,false,true,false
production,auditor,authenticated_verified_org,,approve_pending_binding,false,true,true
production,auditor,authenticated_verified_org,,create_verified_binding,false,true,true
production,auditor,authenticated_verified_org,,inspect_pending_binding,true,true,false
production,auditor,authenticated_verified_org,,resolve_conflict,false,true,true
production,auditor,authenticated_verified_org,,revoke_binding,false,true,true
production,auditor,authenticated_verified_org,,unknown,false,true,false
production,revoked,revoked,platform_admin,approve_pending_binding,false,true,true
production,revoked,revoked,platform_admin,create_verified_binding,false,true,true
production,revoked,revoked,platform_admin,inspect_pending_binding,false,true,false
production,revoked,revoked,platform_admin,resolve_conflict,false,true,true
production,revoked,revoked,platform_admin,revoke_binding,false,true,true
