group,metric,value
corpus_composition,total_records,185
corpus_composition,synthetic_records,0
corpus_composition,recorded_records,162
corpus_composition,live_records,0
corpus_composition,unknown_source_records,23
source_coverage,total_sources,27
source_coverage,monitorable_sources,5
source_coverage,monitored_sources,0
source_coverage,terms_cleared_sources,0
source_coverage,robots_cleared_sources,0
source_coverage,stale_sources,0
source_coverage,retired_sources,0
source_coverage,blocked_terms_sources,0
source_coverage,sources_without_url,22
source_coverage,source_type_coverage_count,2
source_coverage,source_type_coverage_possible,9
opportunity_quality,evidence_backed_records,53
opportunity_quality,records_with_source_url,129
opportunity_quality,records_with_notice_text,108
opportunity_quality,records_with_cited_eligibility,16
opportunity_quality,records_with_cited_exclusion,11
opportunity_quality,records_with_deadline,59
opportunity_quality,records_with_uncertain_deadline,126
opportunity_quality,records_with_raw_deadline,59
opportunity_quality,records_with_normalized_deadline,59
opportunity_quality,records_with_unparseable_deadline,0
opportunity_quality,records_with_ambiguous_deadline,0
opportunity_quality,deadline_normalization_rate,1.0
opportunity_quality,records_never_checked,79
opportunity_quality,records_with_resolvable_freshness,19
opportunity_quality,records_with_amendment_evidence,0
opportunity_quality,duplicate_candidates,0
opportunity_quality,spam_or_low_quality_candidates,
opportunity_quality,honest_empty_records,23
funding_lane,corporate,0
funding_lane,federal,112
funding_lane,federal_pass_through,0
funding_lane,federal_sc_relevant,0
funding_lane,foundation,2
funding_lane,local_regional,0
funding_lane,sc_state,0
funding_lane,unknown,71
deadline_normalization,schema_version,nf_deadline_normalization_v1
deadline_normalization,total,185
deadline_normalization,with_raw_value,59
deadline_normalization,normalized,59
deadline_normalization,normalization_rate,1.0
deadline_normalization,fabricated,False
deadline_parse_status,absent,126
deadline_parse_status,already_iso,40
deadline_parse_status,ambiguous,0
deadline_parse_status,impossible,0
deadline_parse_status,insufficient_precision,0
deadline_parse_status,normalized,19
deadline_parse_status,unparseable,0
deadline_parse_confidence,convention_declared,6
deadline_parse_confidence,exact,40
deadline_parse_confidence,none,126
deadline_parse_confidence,structural,13
freshness,amended,0
freshness,expired,16
freshness,fresh,0
freshness,stale,3
freshness,superseded,0
freshness,unknown,166
readiness,baseline_quality_score,0.0865
readiness,confidence_level,recorded_pre_live
readiness,production_usable,False
readiness,controlled_pilot_usable,False
readiness,customer_demo_usable,True
readiness,improvement_claim_allowed,False
readiness,cited_record_count,16
applicant_class:bie_funded_school,eligible_count,0
applicant_class:bie_funded_school,excluded_by_evidence_count,11
applicant_class:bie_funded_school,possibly_eligible_count,0
applicant_class:bie_funded_school,not_supported_by_evidence_count,96
applicant_class:bie_funded_school,unknown_count,77
applicant_class:bie_funded_school,human_review_required_count,1
applicant_class:bie_funded_school,negative_intelligence_count,11
applicant_class:federally_recognized_tribe,eligible_count,19
applicant_class:federally_recognized_tribe,excluded_by_evidence_count,0
applicant_class:federally_recognized_tribe,possibly_eligible_count,0
applicant_class:federally_recognized_tribe,not_supported_by_evidence_count,89
applicant_class:federally_recognized_tribe,unknown_count,77
applicant_class:federally_recognized_tribe,human_review_required_count,0
applicant_class:federally_recognized_tribe,negative_intelligence_count,0
applicant_class:native_business,eligible_count,1
applicant_class:native_business,excluded_by_evidence_count,11
applicant_class:native_business,possibly_eligible_count,0
applicant_class:native_business,not_supported_by_evidence_count,95
applicant_class:native_business,unknown_count,77
applicant_class:native_business,human_review_required_count,1
applicant_class:native_business,negative_intelligence_count,11
applicant_class:native_individual,eligible_count,0
applicant_class:native_individual,excluded_by_evidence_count,11
applicant_class:native_individual,possibly_eligible_count,0
applicant_class:native_individual,not_supported_by_evidence_count,96
applicant_class:native_individual,unknown_count,77
applicant_class:native_individual,human_review_required_count,1
