row_id,declares_honest_emptiness,eligibility_text_empty,eligibility_text_synthesized_from_synopsis,applicant_types_include_tribal,negative_is_evidence_backed,unknown_preserved
nf13-real-fed-001,false,false,false,true,true,false
nf13-real-fed-002,false,false,false,true,true,false
nf13-real-fed-003,false,false,false,true,true,false
nf13-real-fed-004,false,false,false,true,true,false
nf13-real-fed-005,false,false,false,true,true,false
nf13-real-fed-006,false,false,false,true,true,false
nf13-real-fed-007,false,false,false,true,true,false
nf13-real-fed-008,false,false,false,true,true,false
nf13-real-fed-009,false,false,false,true,true,false
nf13-real-fed-010,false,false,false,true,true,false
nf13-real-fed-011,false,false,false,true,true,false
nf13-real-fed-012,false,false,false,true,true,false
nf13-real-fed-013,false,false,false,true,true,false
nf13-real-fed-014,false,false,false,true,true,false
nf13-real-fed-015,false,false,false,true,true,false
nf13-real-fed-016,false,false,false,true,true,false
nf13-real-fed-017,false,false,false,true,true,false
nf13-real-fed-018,false,false,false,true,true,false
nf13-real-fed-019,false,false,false,true,true,false
nf13-real-fed-020,false,false,false,true,true,false
nf13-real-fed-021,false,false,false,true,true,false
nf13-real-fed-022,false,false,false,true,true,false
nf13-real-fed-024,false,false,false,true,true,false
nf13-real-fed-025,true,true,false,null,false,true
nf13-real-fed-026,false,false,false,true,true,false
nf13-real-fed-027,false,false,false,true,true,false
nf13-real-fed-028,false,false,false,true,true,false
nf13-real-fed-029,false,false,false,true,true,false
nf13-real-fed-030,false,false,false,true,true,false
nf13-real-fed-031,false,false,false,true,true,false
nf13-real-fed-032,false,false,false,true,true,false
nf13-real-fed-033,false,false,false,true,true,false
nf13-real-fed-034,false,false,false,true,true,false
nf13-real-fed-035,false,false,false,true,true,false
nf13-real-fed-036,false,false,false,true,true,false
nf13-real-fed-037,false,false,false,true,true,false
nf13-real-fed-038,false,false,false,true,true,false
nf13-real-fed-039,false,false,false,true,true,false
nf13-real-fed-040,false,false,false,true,true,false
nf13-real-fed-041,false,false,false,true,true,false
nf14-mixed-broad-01,false,false,false,false,true,false
nf14-mixed-broad-02,false,false,false,false,true,false
nf14-mixed-broad-03,false,false,false,false,true,false
nf14-mixed-broad-04,false,false,false,null,true,false
nf14-mixed-broad-05,false,false,false,false,true,false
nf14-mixed-broad-06,false,false,false,false,true,false
nf14-mixed-edge-07,false,false,false,true,true,false
nf14-mixed-edge-08,false,false,false,true,true,false
nf14-mixed-edge-09,false,false,false,true,true,false
nf14-mixed-edge-10,false,false,false,true,true,false
nf14-mixed-broad-11,false,false,false,false,true,false
nf14-mixed-label_spread-12,false,false,false,null,true,false
nf14-mixed-label_spread-13,false,false,false,false,true,false
nf14-mixed-label_spread-14,false,false,false,true,true,false
nf14-mixed-label_spread-15,false,false,false,true,true,false
nf14-mixed-label_spread-16,false,true,false,null,false,true
nf14-mixed-label_spread-17,false,false,false,true,true,false
