operation,identity_name,identity_shape,identity_role,rls_compatible,binding_required,write_allowed,cross_tenant_risk
awarded_grants_persist,organization_id,uuid,rls_authority,true,false,true,false
beta_onboarding_persist,organization_id,uuid,rls_authority,true,false,true,false
document_library_persist,organization_id,uuid,rls_authority,true,false,true,false
source_watchlist_persist,organization_id,uuid,rls_authority,true,false,true,false
tenant_digest_persist,organization_id,uuid,rls_authority,true,false,true,false
tenant_profile_persist,organization_id,uuid,rls_authority,true,false,true,false
awarded_grants_persist,org_id,uuid,service_alias,true,false,true,false
beta_onboarding_persist,org_id,uuid,service_alias,true,false,true,false
document_library_persist,org_id,uuid,service_alias,true,false,true,false
source_watchlist_persist,org_id,uuid,service_alias,true,false,true,false
tenant_digest_persist,org_id,uuid,service_alias,true,false,true,false
tenant_profile_persist,org_id,uuid,service_alias,true,false,true,false
awarded_grants_persist,org_id,free_form,service_alias,false,true,false,true
beta_onboarding_persist,org_id,free_form,service_alias,false,true,false,true
document_library_persist,org_id,free_form,service_alias,false,true,false,true
source_watchlist_persist,org_id,free_form,service_alias,false,true,false,true
tenant_digest_persist,org_id,free_form,service_alias,false,true,false,true
tenant_profile_persist,org_id,free_form,service_alias,false,true,false,true
awarded_grants_persist,customer_org_id,free_form,customer_surface_alias,false,true,false,true
beta_onboarding_persist,customer_org_id,free_form,customer_surface_alias,false,true,false,true
document_library_persist,customer_org_id,free_form,customer_surface_alias,false,true,false,true
source_watchlist_persist,customer_org_id,free_form,customer_surface_alias,false,true,false,true
tenant_digest_persist,customer_org_id,free_form,customer_surface_alias,false,true,false,true
tenant_profile_persist,customer_org_id,free_form,customer_surface_alias,false,true,false,true
awarded_grants_persist,tenant_id,free_form,demo_fixture_label,false,true,false,true
beta_onboarding_persist,tenant_id,free_form,demo_fixture_label,false,true,false,true
document_library_persist,tenant_id,free_form,demo_fixture_label,false,true,false,true
source_watchlist_persist,tenant_id,free_form,demo_fixture_label,false,true,false,true
tenant_digest_persist,tenant_id,free_form,demo_fixture_label,false,true,false,true
tenant_profile_persist,tenant_id,free_form,demo_fixture_label,false,true,false,true
awarded_grants_persist,tenant_id,uuid,product_tenant_label,false,true,false,true
beta_onboarding_persist,tenant_id,uuid,product_tenant_label,false,true,false,true
document_library_persist,tenant_id,uuid,product_tenant_label,false,true,false,true
source_watchlist_persist,tenant_id,uuid,product_tenant_label,false,true,false,true
tenant_digest_persist,tenant_id,uuid,product_tenant_label,false,true,false,true
tenant_profile_persist,tenant_id,uuid,product_tenant_label,false,true,false,true
