source_id,source_name,priority_tier,allowability_class,raw_allowability_value,on_watchlist
FED-GRANTS,Grants.gov,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
FED-SIMPLER,Simpler.Grants.gov API,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
FED-SAM-AL,SAM.gov Assistance Listings,Tier 1,unclear,Unclear,False
FED-FR,Federal Register,Tier 1,unclear,Unclear,False
FED-USA,USAspending,Tier 2,unlikely_allowable,Not applicable,False
NAT-ATC,Access to Capital Clearinghouse,Tier 1,unclear,Varies,False
DOI-BIA-GRANTS,Indian Affairs Grants,Tier 1,unclear,Varies,False
DOI-BIE,Bureau of Indian Education,Tier 2,unclear,Varies,False
DOI-NPS-THG,Tribal Heritage Grants,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOI-NPS-NAGPRA,NAGPRA Grants,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOI-FWS-TWG,Tribal Wildlife Grants,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOI-BOR,Nature-Based Solutions and Native American Affairs,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
HHS-ANA,ANA Funding Opportunities,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
HHS-IHS,IHS Funding Opportunities,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
HHS-SAMHSA,SAMHSA Grants,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
HHS-CDC,CDC Grants and Funding,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
HHS-HRSA,HRSA Find Funding,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
HHS-ACL,ACL Funding Opportunities,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
NIH-GUIDE,NIH Guide for Grants and Contracts,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
NIH-REPORTER,NIH RePORTER,Tier 2,unlikely_allowable,Not applicable,False
USDA-RD,USDA Rural Development Funding,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
USDA-RECONNECT,ReConnect Program,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
USDA-NIFA,NIFA Grants,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
USDA-NRCS,NRCS Tribal Assistance,Tier 2,sometimes_allowable,Sometimes allowable depending on program,False
HUD-ONAP,HUD Office of Native American Programs,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
HUD-IHBG,Indian Housing Block Grant,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOC-EDA,EDA Funding Opportunities,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOC-NTIA,Internet for All Funding Programs,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOC-NOAA,NOAA Funding Opportunities,Tier 2,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOE-INDIAN,Office of Indian Energy Funding,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
EPA-TRIBAL,EPA Tribal Grants,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
EPA-GAP,Indian Environmental General Assistance Program,Tier 1,likely_allowable,Likely allowable,True
EPA-EN,Exchange Network Grant Program,Tier 1,likely_allowable,Likely allowable,True
DOJ-TRIBAL,DOJ Tribal Open Solicitations,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOJ-OVW,OVW Open Solicitations,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
FEMA-THSGP,Tribal Homeland Security Grant Program,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
