source_id,source_name,priority_tier,allowability_class,raw_allowability_value,on_watchlist
24-CFR-1003-206-ICDBG-PROGRA-43357E,24 CFR 1003.206 ICDBG Program Administration Costs,Tier 1,clearly_allowable,clearly-allowable,True
NAT-ATC,Access to Capital Clearinghouse,Tier 1,unclear,Varies,False
HHS-ANA,ANA Funding Opportunities,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
BIA-INDIAN-AFFAIRS-NEWS-8D3977,BIA / Indian Affairs news,Tier 1,unknown,n/a,False
BIA-ACCESS-TO-CAPITAL-CLEARI-B5C49A,BIA Access to Capital Clearinghouse,Tier 1,unknown,UNKNOWN (varies),False
BIA-BRANCH-OF-TRIBAL-COMMUNI-3E3D51,BIA Branch of Tribal Community Resilience,Tier 1,likely_allowable,likely-allowable,True
BIA-ENERGY-AND-MINERAL-DEVEL-57996E,BIA Energy and Mineral Development Program (EMDP),Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
BIA-INDIAN-AFFAIRS-GRANTS-IN-EE5C3A,BIA Indian Affairs Grants index,Tier 1,likely_allowable,likely-allowable,True
BIA-TCR-ANNUAL-AWARDS-PROGRA-1C5286,BIA TCR Annual Awards Program,Tier 1,likely_allowable,likely-allowable,True
CDFI-FUND-NACA-APPLICATION-M-482BA0,CDFI Fund NACA application materials,Tier 1,likely_allowable,likely-allowable - CONFIRM in the FY TA Application Guidance PDF,True
CDFI-FUND-NATIVE-INITIATIVES-032595,CDFI Fund Native Initiatives (NACA Program),Tier 1,likely_allowable,likely-allowable - Technical Assistance is expressly capacity funding including technology,True
COORDINATED-TRIBAL-ASSISTANC-9DA903,Coordinated Tribal Assistance Solicitation (CTAS) FY26,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
COPS-OFFICE-GRANTS-16E0B8,COPS Office Grants,Tier 1,unclear,unclear,False
CTAS-PURPOSE-AREA-1-TRIBAL-R-DB3628,CTAS Purpose Area 1 - Tribal Resources Grant Program,Tier 1,clearly_allowable,clearly-allowable,True
CTAS-PURPOSE-AREA-2-TRIBAL-J-BFDFEA,CTAS Purpose Area 2 - Tribal Justice Systems Strategic Planning,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
CTAS-PURPOSE-AREA-5-ADULT-TR-5C068E,CTAS Purpose Area 5 - Adult Tribal Treatment Courts,Tier 1,clearly_allowable,clearly-allowable,True
CWA-SECTION-106-TRIBAL-GRANT-1C85BD,CWA Section 106 Tribal Grants,Tier 1,clearly_allowable,clearly-allowable,True
CWA-SECTION-319-TRIBAL-BASE-1C68B9,CWA Section 319 Tribal Base Grants,Tier 1,likely_allowable,likely-allowable,True
CWA-SECTION-319-TRIBAL-COMPE-9B12AC,CWA Section 319 Tribal Competitive Grants (FY26 NOFO OPEN),Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
DOL-DINAP,Division of Indian and Native American Programs,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOE-IE-EXCHANGE-OFFICE-OF-IN-B11146,DOE IE-Exchange (Office of Indian Energy application portal),Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
DOE-INDIAN-ENERGY-GOVDELIVER-7050A9,DOE Indian Energy GovDelivery bulletins,Tier 1,unknown,UNKNOWN,False
DOE-OFFICE-OF-INDIAN-ENERGY-3D42B9,DOE Office of Indian Energy funding page,Tier 1,unknown,UNKNOWN,False
DOE-OFFICE-OF-INDIAN-ENERGY-9700C5,DOE Office of Indian Energy — Current Funding & TA Opportunities,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
DOJ-OJP-CURRENT-FUNDING-OPPO-1CD04D,DOJ OJP Current Funding Opportunities,Tier 1,unknown,UNKNOWN,False
DOJ-TRIBAL,DOJ Tribal Open Solicitations,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
DOL-ETA-DIVISION-OF-INDIAN-A-99917B,DOL ETA Division of Indian and Native American Programs (DINAP),Tier 1,unclear,unclear,False
DOT-GRANTS,DOT Grants,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
ED-AVAILABLE-GRANTS-FUNDING-E6CE73,ED Available Grants (Funding Forecast),Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
ED-GRANTS-FOR-NATIVE-AMERICA-7AE2EB,"ED Grants for Native Americans, Alaskan Natives, and Pacific Islanders",Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
ED-OFFICE-OF-INDIAN-EDUCATIO-C44818,ED Office of Indian Education (OIE),Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
DOC-EDA,EDA Funding Opportunities,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
EDA-OPEN-FUNDING-SEARCH-ENDP-517E71,EDA Open Funding Search Endpoint,Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
EDA-PLANNING-PROGRAM-CEDS-00B949,EDA Planning Program (CEDS),Tier 1,likely_allowable,likely-allowable - planning IS the program purpose,True
EDA-PROGRAM-LIST-4ED231,EDA Program List,Tier 1,likely_allowable,likely-allowable,True
EDA-PUBLIC-WORKS-ECONOMIC-AD-ACD229,EDA Public Works & Economic Adjustment Assistance (PWEAA),Tier 1,sometimes_allowable,sometimes-allowable-depends-on-NOFO,False
EDA-TRIBAL-ECONOMIC-DEVELOPM-3596B7,EDA Tribal Economic Development Resources,Tier 1,likely_allowable,likely-allowable (CEDS/planning is the program purpose; see also /resources/indirect-costs),True
EPA-TRIBAL,EPA Tribal Grants,Tier 1,sometimes_allowable,Sometimes allowable depending on NOFO/budget category,False
EPA-EN,Exchange Network Grant Program,Tier 1,likely_allowable,Likely allowable,True
FED-FR,Federal Register,Tier 1,unclear,Unclear,False
FEDERAL-REGISTER-INDIAN-AFFA-0B2B7B,Federal Register - Indian Affairs Bureau slice,Tier 1,unknown,UNKNOWN,False
FEDERAL-REGISTER-API-V1-737DD0,Federal Register API v1,Tier 1,unknown,n/a,False
FEDERAL-REGISTER-INDIAN-ENTI-2B8DCF,Federal Register Indian Entities Recognized notice,Tier 1,unknown,n/a,False
