source_id,source_name,priority_tier,robots_or_terms_risk,terms_status,requires_login,monitoring_method,url,activation_blocked_reasons
24-CFR-1003-206-ICDBG-PROGRA-43357E,24 CFR 1003.206 ICDBG Program Administration Costs,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.ecfr.gov/current/title-24/part-1003/section-1003.206,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
NAT-ATC,Access to Capital Clearinghouse,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,No,search endpoint monitor,https://www.bia.gov/atc,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
BIA-ACCESS-TO-CAPITAL-CLEARI-B5C49A,BIA Access to Capital Clearinghouse,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,UNKNOWN,search endpoint monitor,https://www.bia.gov/atc/search,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
CDFI-FUND-NATIVE-INITIATIVES-032595,CDFI Fund Native Initiatives (NACA Program),Tier 1,OK,TERMS_REVIEW_REQUIRED,no for materials; AMIS and Grants.gov to apply,static HTML page monitor,https://www.cdfifund.gov/programs-training/programs/native-initiatives,requires_login:no for materials; AMIS and Grants.gov to apply;monitoring_not_started
CWA-SECTION-319-TRIBAL-COMPE-9B12AC,CWA Section 319 Tribal Competitive Grants (FY26 NOFO OPEN),Tier 1,OK,TERMS_REVIEW_REQUIRED,Grants.gov login to apply,PDF/NOFO page monitor,https://www.epa.gov/nps/current-tribal-section-319-grant-information,requires_login:Grants.gov login to apply;monitoring_not_started
DOE-IE-EXCHANGE-OFFICE-OF-IN-B11146,DOE IE-Exchange (Office of Indian Energy application portal),Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,login required to apply (registration open),search endpoint monitor,https://ie-exchange.energy.gov/,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:login required to apply (registration open);monitoring_not_started
DOE-INDIAN-ENERGY-GOVDELIVER-7050A9,DOE Indian Energy GovDelivery bulletins,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://content.govdelivery.com/accounts/USDOEIE/bulletins/41f4772,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
EDA-OPEN-FUNDING-SEARCH-ENDP-517E71,EDA Open Funding Search Endpoint,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,search endpoint monitor,https://www.eda.gov/funding/funding-opportunities/all-opportunities?f%5B0%5D=funding_status%3A6565,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
EDA-PLANNING-PROGRAM-CEDS-00B949,EDA Planning Program (CEDS),Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.eda.gov/funding/programs/planning,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
EDA-PROGRAM-LIST-4ED231,EDA Program List,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.eda.gov/funding/programs,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
EDA-PUBLIC-WORKS-ECONOMIC-AD-ACD229,EDA Public Works & Economic Adjustment Assistance (PWEAA),Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,PDF/NOFO page monitor,https://www.eda.gov/funding/programs/public-works,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
EDA-TRIBAL-ECONOMIC-DEVELOPM-3596B7,EDA Tribal Economic Development Resources,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,static HTML page monitor,https://www.eda.gov/resources/tribal-economic-development-resources,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
FHWA-OFFICE-OF-TRIBAL-TRANSP-6BBDFE,FHWA Office of Tribal Transportation — GovDelivery topic,Tier 1,OK,TERMS_REVIEW_REQUIRED,subscription,email bulletin/manual intake,https://public.govdelivery.com/accounts/USDOTFHWA/subscriber/new?topic_id=USDOTFHWA_83,requires_login:subscription;monitoring_not_started
FTA-TRIBAL-GOVERNMENTS-HUB-5025A2,FTA Tribal Governments hub,Tier 1,OK,TERMS_REVIEW_REQUIRED,TrAMS/ECHO-Web for recipients,static HTML page monitor,https://www.transit.dot.gov/funding/tribal-governments,requires_login:TrAMS/ECHO-Web for recipients;monitoring_not_started
FTA-TRIBAL-TRANSIT-COMPETITI-6A8E78,FTA Tribal Transit Competitive Program (5311(c)(1)(A)),Tier 1,OK,TERMS_REVIEW_REQUIRED,Grants.gov/TrAMS to apply,static HTML page monitor,https://www.transit.dot.gov/tribal-transit,requires_login:Grants.gov/TrAMS to apply;monitoring_not_started
FTA-TRIBAL-TRANSIT-FORMULA-P-5B93C7,FTA Tribal Transit Formula Program (5311(c)(1)(B)),Tier 1,OK,TERMS_REVIEW_REQUIRED,TrAMS,static HTML page monitor,https://www.transit.dot.gov/funding/grants/tribal-transit-formula-grants-5311c1b,requires_login:TrAMS;monitoring_not_started
FED-GRANTS,Grants.gov,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,No,API monitor,https://www.grants.gov/api/api-guide,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
GRANTS-GOV-SIMPLER-GRANTS-GO-F58A17,Grants.gov / Simpler.Grants.gov,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no (for search),API monitor,https://www.grants.gov,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:no (for search);monitoring_not_started
GRANTS-GOV-FETCHOPPORTUNITY-33AA88,Grants.gov fetchOpportunity API,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,API monitor,https://api.grants.gov/v1/api/fetchOpportunity,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
GRANTS-GOV-SAVED-SEARCH-EMAI-324B7D,Grants.gov saved-search email alerts,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,yes for saved searches,search endpoint monitor,https://www.grants.gov/search-grants,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:yes for saved searches;monitoring_not_started
GRANTS-GOV-SEARCH2-API-2C1391,Grants.gov Search2 API,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,API monitor,https://api.grants.gov/v1/api/search2,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
GRANTS-GOV-SEARCH2-REST-API-D3C9B4,Grants.gov Search2 REST API,Tier 1,TERMS_REVIEW_REQUIRED,TERMS_REVIEW_REQUIRED,no,API monitor,https://api.grants.gov/v1/api/search2,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
