demo_context,binding_status,operation,resolution_allowed,read_allowed,write_allowed,cross_tenant_risk,human_review_required
true,demo_fixture,awarded_grants_read,true,true,false,false,false
true,demo_fixture,awarded_grants_write,true,false,true,false,false
true,demo_fixture,beta_onboarding,true,false,true,false,false
true,demo_fixture,document_library_read,true,true,false,false,false
true,demo_fixture,document_library_write,true,false,true,false,false
true,demo_fixture,source_watchlist_read,true,true,false,false,false
true,demo_fixture,source_watchlist_write,true,false,true,false,false
true,demo_fixture,tenant_digest_read,true,true,false,false,false
true,demo_fixture,tenant_digest_write,true,false,true,false,false
true,demo_fixture,unknown,false,false,false,false,false
true,unbound,awarded_grants_read,false,false,false,false,true
true,unbound,awarded_grants_write,false,false,false,false,true
true,unbound,beta_onboarding,false,false,false,false,true
true,unbound,document_library_read,false,false,false,false,true
true,unbound,document_library_write,false,false,false,false,true
true,unbound,source_watchlist_read,false,false,false,false,true
true,unbound,source_watchlist_write,false,false,false,false,true
true,unbound,tenant_digest_read,false,false,false,false,true
true,unbound,tenant_digest_write,false,false,false,false,true
true,unbound,unknown,false,false,false,false,true
true,pending_review,awarded_grants_read,true,true,false,false,true
true,pending_review,awarded_grants_write,false,false,false,false,true
true,pending_review,beta_onboarding,false,false,false,false,true
true,pending_review,document_library_read,true,true,false,false,true
true,pending_review,document_library_write,false,false,false,false,true
true,pending_review,source_watchlist_read,true,true,false,false,true
true,pending_review,source_watchlist_write,false,false,false,false,true
true,pending_review,tenant_digest_read,true,true,false,false,true
true,pending_review,tenant_digest_write,false,false,false,false,true
true,pending_review,unknown,false,false,false,false,true
true,conflict,awarded_grants_read,false,false,false,true,true
true,conflict,awarded_grants_write,false,false,false,true,true
true,conflict,beta_onboarding,false,false,false,true,true
true,conflict,document_library_read,false,false,false,true,true
true,conflict,document_library_write,false,false,false,true,true
true,conflict,source_watchlist_read,false,false,false,true,true
true,conflict,source_watchlist_write,false,false,false,true,true
true,conflict,tenant_digest_read,false,false,false,true,true
true,conflict,tenant_digest_write,false,false,false,true,true
true,conflict,unknown,false,false,false,true,true
true,revoked,awarded_grants_read,false,false,false,true,true
true,revoked,awarded_grants_write,false,false,false,true,true
true,revoked,beta_onboarding,false,false,false,true,true
true,revoked,document_library_read,false,false,false,true,true
true,revoked,document_library_write,false,false,false,true,true
true,revoked,source_watchlist_read,false,false,false,true,true
true,revoked,source_watchlist_write,false,false,false,true,true
true,revoked,tenant_digest_read,false,false,false,true,true
true,revoked,tenant_digest_write,false,false,false,true,true
true,revoked,unknown,false,false,false,true,true
false,demo_fixture,awarded_grants_read,false,false,false,true,true
false,demo_fixture,awarded_grants_write,false,false,false,true,true
false,demo_fixture,beta_onboarding,false,false,false,true,true
false,demo_fixture,document_library_read,false,false,false,true,true
false,demo_fixture,document_library_write,false,false,false,true,true
false,demo_fixture,source_watchlist_read,false,false,false,true,true
false,demo_fixture,source_watchlist_write,false,false,false,true,true
false,demo_fixture,tenant_digest_read,false,false,false,true,true
false,demo_fixture,tenant_digest_write,false,false,false,true,true
false,demo_fixture,unknown,false,false,false,false,false
false,unbound,awarded_grants_read,false,false,false,true,true
false,unbound,awarded_grants_write,false,false,false,true,true
false,unbound,beta_onboarding,false,false,false,true,true
false,unbound,document_library_read,false,false,false,true,true
false,unbound,document_library_write,false,false,false,true,true
false,unbound,source_watchlist_read,false,false,false,true,true
false,unbound,source_watchlist_write,false,false,false,true,true
false,unbound,tenant_digest_read,false,false,false,true,true
false,unbound,tenant_digest_write,false,false,false,true,true
false,unbound,unknown,false,false,false,false,true
false,pending_review,awarded_grants_read,true,true,false,true,true
false,pending_review,awarded_grants_write,false,false,false,true,true
false,pending_review,beta_onboarding,false,false,false,true,true
false,pending_review,document_library_read,true,true,false,true,true
false,pending_review,document_library_write,false,false,false,true,true
false,pending_review,source_watchlist_read,true,true,false,true,true
false,pending_review,source_watchlist_write,false,false,false,true,true
false,pending_review,tenant_digest_read,true,true,false,true,true
false,pending_review,tenant_digest_write,false,false,false,true,true
false,pending_review,unknown,false,false,false,false,true
false,conflict,awarded_grants_read,false,false,false,true,true
false,conflict,awarded_grants_write,false,false,false,true,true
false,conflict,beta_onboarding,false,false,false,true,true
false,conflict,document_library_read,false,false,false,true,true
false,conflict,document_library_write,false,false,false,true,true
false,conflict,source_watchlist_read,false,false,false,true,true
false,conflict,source_watchlist_write,false,false,false,true,true
false,conflict,tenant_digest_read,false,false,false,true,true
false,conflict,tenant_digest_write,false,false,false,true,true
false,conflict,unknown,false,false,false,true,true
false,revoked,awarded_grants_read,false,false,false,true,true
false,revoked,awarded_grants_write,false,false,false,true,true
false,revoked,beta_onboarding,false,false,false,true,true
false,revoked,document_library_read,false,false,false,true,true
false,revoked,document_library_write,false,false,false,true,true
false,revoked,source_watchlist_read,false,false,false,true,true
false,revoked,source_watchlist_write,false,false,false,true,true
false,revoked,tenant_digest_read,false,false,false,true,true
false,revoked,tenant_digest_write,false,false,false,true,true
false,revoked,unknown,false,false,false,true,true
